condsFile,readyMSG,condition,stimuli_left,stimuli_right,target,correct_answer,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,left_stimuli.started,right_stimuli.started,target_stim.started,left_stimuli.stopped,right_stimuli.stopped,target_stim.stopped,blanc.started,blanc.stopped,textbox.stopped,session,participant,date,expName,psychopyVersion,frameRate,
Surprised.xlsx,Comparez les visages,Surprised,M09SU.png,M35SU.png,M09SU.png,1,0,3,3,3,0,2,2,0,,174.68559141600008,174.68559141600008,174.68559141600008,178.71765170800018,178.71765170800018,178.71765170800018,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,M01SU.png,M16SU.png,M16SU.png,2,0,3,3,3,0,3,3,3,,179.18565037500002,179.18565037500002,179.18565037500002,183.21668158300008,183.21668158300008,183.21668158300008,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,F13SU.png,F24SU.png,F24SU.png,2,0,3,3,3,0,4,4,2,,183.68555204099994,183.68555204099994,183.68555204099994,187.72883300000012,187.72883300000012,187.72883300000012,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,Surprised,M28SU.png,M11SU.png,M28SU.png,1,0,3,3,3,0,5,5,1,,188.19910574999994,188.19910574999994,188.19910574999994,192.1885165829999,192.1885165829999,192.1885165829999,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,vertical.png,1,0,4,4,4,0,0,0,0,196.185478375,198.68229808299975,198.68229808299975,198.68229808299975,202.7140222080002,202.7140222080002,202.7140222080002,192.1885165829999,196.185478375,198.2265684160002,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,orizontal.png,1,0,4,4,4,0,1,1,8,,203.18213233300003,203.18213233300003,203.18213233300003,207.214585833,207.214585833,207.214585833,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,orizontal.png,2,0,4,4,4,0,2,2,1,,207.68891162499995,207.68891162499995,207.68891162499995,211.7258642500001,211.7258642500001,211.7258642500001,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,circle.png,2,0,4,4,4,0,3,3,3,,212.18209666599978,212.18209666599978,212.18209666599978,216.19128891599985,216.19128891599985,216.19128891599985,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,orizontal.png,2,0,4,4,4,0,4,4,7,,216.68209500000012,216.68209500000012,216.68209500000012,220.71747537500005,220.71747537500005,220.71747537500005,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,vertical.png,2,0,4,4,4,0,5,5,11,,221.18192987500015,221.18192987500015,221.18192987500015,225.2153772910001,225.2153772910001,225.2153772910001,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,vertical.png,2,0,4,4,4,0,6,6,5,,225.68209604100002,225.68209604100002,225.68209604100002,229.71314012499988,229.71314012499988,229.71314012499988,,,,001,,2023-04-11_11h18.56.773,blockedTrials,2022.2.5,None,
,,,,,,,,,,,,,,,,230.18226995799978,230.18226995799978,230.18226995799978,,,,,,,,,,,,,
