condsFile,readyMSG,jitter,condition,stimuli_left,stimuli_right,target,correct_answer,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,left_stimuli.started,right_stimuli.started,target_stim.started,key_resp.started,left_stimuli.stopped,right_stimuli.stopped,target_stim.stopped,key_resp.stopped,key_resp.keys,key_resp.corr,key_resp.rt,fix_cross.started,fix_cross.stopped,textbox.stopped,session,participant,group,date,expName,psychopyVersion,frameRate,
shapes.xlsx,Comparez les formes,5,shapes,orizontal.png,circle.png,orizontal.png,1,0,4,4,4,0,5,5,8,,169.04855991599993,169.04855991599993,169.04855991599993,169.04855991599993,173.0384771659999,173.0384771659999,173.0384771659999,173.0384771659999,left,0,1.2986601669997526,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,6,Neutral,F06NE.png,F13NE.png,F13NE.png,2,0,5,5,5,0,0,0,0,178.04625925000005,180.5226197909999,180.5226197909999,180.5226197909999,180.5226197909999,184.556887125,184.556887125,184.556887125,184.556887125,right,0,3.2615012909998313,173.0496181660003,178.04625925000005,180.08678716600002,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,6,Neutral,F05NE.png,F19NE.png,F19NE.png,2,0,5,5,5,0,1,1,2,,185.03235458299991,185.03235458299991,185.03235458299991,185.03235458299991,189.067173958,189.067173958,189.067173958,189.067173958,right,0,1.572335707999855,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,6,Neutral,F07NE.png,F29NE.png,F07NE.png,1,0,5,5,5,0,2,2,5,,189.5325341250002,189.5325341250002,189.5325341250002,189.5325341250002,193.5668303750001,193.5668303750001,193.5668303750001,193.5668303750001,left,0,1.8750425409996296,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,6,Neutral,M13NE.png,M07NE.png,M07NE.png,2,0,5,5,5,0,3,3,4,,194.0323812500003,194.0323812500003,194.0323812500003,194.0323812500003,198.06696016599994,198.06696016599994,198.06696016599994,198.06696016599994,right,0,1.5063304590000826,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,6,Neutral,M10NE.png,M11NE.png,M10NE.png,1,0,5,5,5,0,4,4,3,,198.5329025829999,198.5329025829999,198.5329025829999,198.5329025829999,202.56804816599993,202.56804816599993,202.56804816599993,202.56804816599993,None,0,,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,6,Neutral,M01NE.png,M31NE.png,M01NE.png,1,0,5,5,5,0,5,5,1,,203.03240087500012,203.03240087500012,203.03240087500012,203.03240087500012,207.02168695800015,207.02168695800015,207.02168695800015,207.02168695800015,left,0,0.9214399999998477,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,9,shapes,circle.png,vertical.png,vertical.png,2,0,6,6,6,0,0,0,5,213.02725629100019,215.50454741599992,215.50454741599992,215.50454741599992,215.50454741599992,219.60039441599997,219.60039441599997,219.60039441599997,219.60039441599997,right,0,1.0147672499995224,207.0326348750002,213.02725629100019,215.11520270799997,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,9,shapes,orizontal.png,circle.png,orizontal.png,1,0,6,6,6,0,1,1,8,,220.00560770800007,220.00560770800007,220.00560770800007,220.00560770800007,224.1097982910003,224.1097982910003,224.1097982910003,224.1097982910003,None,0,,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,9,shapes,vertical.png,orizontal.png,orizontal.png,2,0,6,6,6,0,2,2,1,,224.50493037499996,224.50493037499996,224.50493037499996,224.50493037499996,228.5959327500002,228.5959327500002,228.5959327500002,228.5959327500002,right,0,1.507949666000286,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,9,shapes,circle.png,orizontal.png,orizontal.png,2,0,6,6,6,0,3,3,7,,229.00529816600033,229.00529816600033,229.00529816600033,229.00529816600033,233.0925210830003,233.0925210830003,233.0925210830003,233.0925210830003,right,0,2.6329626660001395,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,9,shapes,vertical.png,orizontal.png,vertical.png,1,0,6,6,6,0,4,4,0,,233.5049912500001,233.5049912500001,233.5049912500001,233.5049912500001,237.5963998750001,237.5963998750001,237.5963998750001,237.5963998750001,left,0,0.6974325419998877,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,9,shapes,orizontal.png,circle.png,circle.png,2,0,6,6,6,0,5,5,9,,238.00621083300007,238.00621083300007,238.00621083300007,238.00621083300007,242.00578629100005,242.00578629100005,242.00578629100005,242.00578629100005,right,0,0.9659277920002296,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,6,Angry,M30AN.png,M09AN.png,M09AN.png,2,0,7,7,7,0,0,0,1,251.01218537499994,253.4992594160001,253.4992594160001,253.4992594160001,253.4992594160001,257.53366416600034,257.53366416600034,257.53366416600034,257.53366416600034,right,0,1.6195985410001867,242.00578629100005,251.01218537499994,253.05233591599995,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,6,Angry,F21AN.png,F20AN.png,F21AN.png,1,0,7,7,7,0,1,1,2,,257.999217583,257.999217583,257.999217583,257.999217583,262.0334650410002,262.0334650410002,262.0334650410002,262.0334650410002,left,0,2.415430624999999,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,6,Angry,F22AN.png,F23AN.png,F22AN.png,1,0,7,7,7,0,2,2,3,,262.4992180410002,262.4992180410002,262.4992180410002,262.4992180410002,266.5342222080001,266.5342222080001,266.5342222080001,266.5342222080001,left,0,1.3576177079996796,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,6,Angry,M17AN.png,M11AN.png,M17AN.png,1,0,7,7,7,0,3,3,4,,266.9997473330002,266.9997473330002,266.9997473330002,266.9997473330002,271.03447325,271.03447325,271.03447325,271.03447325,left,0,1.3360297920000903,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,6,Angry,F14AN.png,F31AN.png,F31AN.png,2,0,7,7,7,0,4,4,5,,271.4990649160002,271.4990649160002,271.4990649160002,271.4990649160002,275.53468179100014,275.53468179100014,275.53468179100014,275.53468179100014,right,0,1.2917215420000048,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Angry.xlsx,Comparez les visages,6,Angry,M10AN.png,M05AN.png,M05AN.png,2,0,7,7,7,0,5,5,0,,275.99923241600004,275.99923241600004,275.99923241600004,275.99923241600004,279.989363208,279.989363208,279.989363208,279.989363208,right,0,1.4291819160000614,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,5,shapes,circle.png,vertical.png,circle.png,1,0,8,8,8,0,0,0,4,285.99526120800033,288.48198070800004,288.48198070800004,288.48198070800004,288.48198070800004,292.57502929099996,292.57502929099996,292.57502929099996,292.57502929099996,left,0,0.981217875000084,279.989363208,285.99526120800033,288.07711837500005,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,5,shapes,orizontal.png,vertical.png,vertical.png,2,0,8,8,8,0,1,1,11,,292.9826756250002,292.9826756250002,292.9826756250002,292.9826756250002,297.06438670800003,297.06438670800003,297.06438670800003,297.06438670800003,right,0,0.7104439580000417,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,5,shapes,circle.png,vertical.png,vertical.png,2,0,8,8,8,0,2,2,5,,297.4708800830001,297.4708800830001,297.4708800830001,297.4708800830001,301.574717791,301.574717791,301.574717791,301.574717791,right,0,0.9019964159999745,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
